"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.1964541987158,4.2530933370743,23.7464209060574,1.09899553711128e-06,0.000437796454946584,"77220","Tmem200a","transmembrane protein 200A"
-7.90800899522506,6.24789544292323,23.6985654188703,1.1266648894048e-06,0.000437796454946584,"14726","Pdpn","podoplanin"
-7.98854023083287,5.99290428888497,23.6508166896782,1.15496884414428e-06,0.000437796454946584,"55987","Cpxm2","carboxypeptidase X, M14 family member 2"
-8.61997273096262,10.5247304313009,23.6394514970759,1.16181018110846e-06,0.000437796454946584,"22004","Tpm2","tropomyosin 2, beta"
-7.95583622121018,7.17812824173435,23.603361359787,1.1838054316623e-06,0.000437796454946584,"20272","Scn7a","sodium channel, voltage-gated, type VII, alpha"
-10.9472399618993,2.52365149001015,23.5906972760003,1.19162218044827e-06,0.000437796454946584,"497097","Xkr4","X-linked Kx blood group related 4"
-6.99699744976522,5.8449356876235,23.5779135650183,1.1995652692561e-06,0.000437796454946584,"52377","Rcn3","reticulocalbin 3, EF-hand calcium binding domain"
-7.6280560752526,5.61797952704717,23.5549178632434,1.21398743303493e-06,0.000437796454946584,"68810","Nexn","nexilin"
-8.73145085082474,5.38886417603408,23.4475312335336,1.28367348384692e-06,0.000437796454946584,"16533","Kcnmb1","potassium large conductance calcium-activated channel, subfamily M, beta member 1"
-7.17888284736239,8.65824190241872,23.4273604320391,1.2972036581274e-06,0.000437796454946584,"12836","Col7a1","collagen, type VII, alpha 1"
-8.54339338236073,10.2844614665716,23.3999246832546,1.31583689153483e-06,0.000437796454946584,"57266","Cxcl14","C-X-C motif chemokine ligand 14"
-7.66888870756658,8.99802087106711,23.3901217722393,1.32255952006463e-06,0.000437796454946584,"12821","Col17a1","collagen, type XVII, alpha 1"
-7.29339140348113,5.11916812637355,23.3809677524063,1.32886825178771e-06,0.000437796454946584,"93960","Nkd1","naked cuticle 1"
-7.03142615103402,5.08053630075795,23.3788108665883,1.33035911418485e-06,0.000437796454946584,"242050","Igsf10","immunoglobulin superfamily, member 10"
-7.5124706523979,6.36748577208853,23.3612422138031,1.34256540357665e-06,0.000437796454946584,"59012","Moxd1","monooxygenase, DBH-like 1"
-8.73160083734683,11.9925335489709,23.3471736094902,1.35242088115257e-06,0.000437796454946584,"17880","Myh11","myosin, heavy polypeptide 11, smooth muscle"
-7.13302854395186,7.5253214326528,23.299959825314,1.38602900250522e-06,0.000437796454946584,"12560","Cdh3","cadherin 3"
-7.55316637536707,5.30481115065821,23.2099041069732,1.45247358182959e-06,0.000437796454946584,"20583","Snai2","snail family zinc finger 2"
-6.76538096955532,5.44865575213377,23.2004211855036,1.4596535630975e-06,0.000437796454946584,"104099","Itga9","integrin alpha 9"
-6.79425138616702,5.61089433729212,23.1483604332607,1.49971022035489e-06,0.000437796454946584,"58250","Chst11","carbohydrate sulfotransferase 11"
-7.33422169483926,5.90941725620698,23.0684547231811,1.56334689387725e-06,0.000437796454946584,"545370","Hmcn1","hemicentin 1"
-7.81786778749988,4.84577979539907,23.0664083955432,1.56501167260197e-06,0.000437796454946584,"58178","Sorcs1","sortilin-related VPS10 domain containing receptor 1"
-8.36890715980542,9.81917315997068,23.0273970432986,1.59709142215785e-06,0.000437796454946584,"98932","Myl9","myosin, light polypeptide 9, regulatory"
-7.18299785912999,8.55721644810133,23.0201541941782,1.60311954563226e-06,0.000437796454946584,"13388","Dll1","delta like canonical Notch ligand 1"
-7.23507573052046,6.12316579549712,22.9869741621356,1.63102790134667e-06,0.000437796454946584,"22240","Dpysl3","dihydropyrimidinase-like 3"
-8.24703683277728,6.08525971837851,22.9818925625101,1.63534495501444e-06,0.000437796454946584,"59091","Jph2","junctophilin 2"
-6.48640738901061,5.8670044530249,22.9360054857088,1.67485089775988e-06,0.000437796454946584,"94214","Spock2","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2"
-8.91657035130959,7.90361214841321,22.9338793549615,1.67670439422144e-06,0.000437796454946584,"11468","Actg2","actin, gamma 2, smooth muscle, enteric"
-7.97238847074354,4.04551793044997,22.9119125720291,1.69597523022095e-06,0.000437796454946584,"67516","Kctd4","potassium channel tetramerisation domain containing 4"
-8.73740911704486,5.02429178304526,22.9062263316372,1.70099970294619e-06,0.000437796454946584,"109205","Sobp","sine oculis binding protein"
-8.32668992551871,10.298846489607,22.8962944835996,1.70981151884821e-06,0.000437796454946584,"107589","Mylk","myosin, light polypeptide kinase"
-8.36006472683122,5.65764720503321,22.8744997586695,1.72930923472857e-06,0.000437796454946584,"104001","Rtn1","reticulon 1"
-7.119835509048,4.51356331549132,22.8308560680659,1.76902623575886e-06,0.000437796454946584,"27226","Pla2g7","phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
-7.32903115765931,9.81937305280302,22.8301066658502,1.76971614421604e-06,0.000437796454946584,"16667","Krt17","keratin 17"
-7.32417920231602,4.3615351739816,22.8250306395949,1.77439630392716e-06,0.000437796454946584,"64082","Popdc2","popeye domain containing 2"
-7.02467172629304,4.13024606102578,22.8138051290755,1.78479049930347e-06,0.000437796454946584,"83603","Elovl4","ELOVL fatty acid elongase 4"
-6.77457050818653,7.30130900264225,22.810704944607,1.78767184455096e-06,0.000437796454946584,"26362","Axl","AXL receptor tyrosine kinase"
-7.84706552966467,6.99071370754299,22.7964378586018,1.80099209232749e-06,0.000437796454946584,"19699","Reln","reelin"
-7.80777730693485,6.16597547773483,22.7884849960406,1.80846032995739e-06,0.000437796454946584,"330222","Sdk1","sidekick cell adhesion molecule 1"
-6.47110953925592,7.01462012480213,22.7868097090286,1.81003748651454e-06,0.000437796454946584,"16450","Jag2","jagged 2"
-8.70969909801073,8.67088725958538,22.7790106488724,1.81739789558285e-06,0.000437796454946584,"16008","Igfbp2","insulin-like growth factor binding protein 2"
-7.59944226078716,6.15969086789252,22.6710088256087,1.92246667006817e-06,0.000437796454946584,"23964","Tenm2","teneurin transmembrane protein 2"
-7.1879768171364,5.47525923690472,22.6692054600649,1.92427183066428e-06,0.000437796454946584,"18164","Nptx1","neuronal pentraxin 1"
-7.3467328785144,4.41889639213537,22.6579162351127,1.93561099481288e-06,0.000437796454946584,"15234","Hgf","hepatocyte growth factor"
-7.33911636875724,11.207236321297,22.6388078588622,1.95495684976413e-06,0.000437796454946584,"21345","Tagln","transgelin"
-7.70127879756272,6.70594609580946,22.5977503383287,1.99718328783552e-06,0.000437796454946584,"21804","Tgfb1i1","transforming growth factor beta 1 induced transcript 1"
-7.27940944231169,7.9081987710709,22.5821317425067,2.01348571772175e-06,0.000437796454946584,"16009","Igfbp3","insulin-like growth factor binding protein 3"
-8.36823432983919,4.92163478872099,22.545374182499,2.05238137021503e-06,0.000437796454946584,"12338","Capn6","calpain 6"
-6.88501213814978,6.05225428691416,22.5065623060509,2.09426926926171e-06,0.000437796454946584,"20564","Slit3","slit guidance ligand 3"
-6.90945618071825,5.26457707523125,22.4807956872079,2.12255062390356e-06,0.000437796454946584,"77590","Chst15","carbohydrate sulfotransferase 15"
-6.34015448456904,7.37185407149629,22.4737050269362,2.13040031383486e-06,0.000437796454946584,"14314","Fstl1","follistatin-like 1"
-6.80846702872445,4.67224769422441,22.4517111839339,2.15493426160713e-06,0.000437796454946584,"29877","Hdgfl3","HDGF like 3"
-8.32393751870259,3.15496772067362,22.4500948446375,2.15674841521599e-06,0.000437796454946584,"14048","Eya1","EYA transcriptional coactivator and phosphatase 1"
-6.76488591022474,6.15605758654039,22.4455136218316,2.16189863657981e-06,0.000437796454946584,"26360","Angptl2","angiopoietin-like 2"
-8.33826356850376,5.2030380281126,22.4408277842196,2.16717922970393e-06,0.000437796454946584,"74002","Psd2","pleckstrin and Sec7 domain containing 2"
-6.83323592967458,4.61765282289464,22.393090250135,2.2217188597784e-06,0.000437796454946584,"30785","Cttnbp2","cortactin binding protein 2"
-6.40518317517471,7.79770126266534,22.3573653098909,2.2634331819101e-06,0.000437796454946584,"12822","Col18a1","collagen, type XVIII, alpha 1"
-8.47627282824309,5.04763457505278,22.3570545280848,2.26379949328177e-06,0.000437796454946584,"22420","Wnt6","wingless-type MMTV integration site family, member 6"
-6.70237579625642,5.55462601725287,22.3545063341789,2.26680523468076e-06,0.000437796454946584,"12444","Ccnd2","cyclin D2"
-8.64704890305605,3.91278879864084,22.3426925218876,2.28079269807569e-06,0.000437796454946584,"50786","Hs6st2","heparan sulfate 6-O-sulfotransferase 2"
-7.5639400228483,3.76845154075164,22.3400998736023,2.28387394147062e-06,0.000437796454946584,"394435","Ugt1a6b","UDP glucuronosyltransferase 1 family, polypeptide A6B"
-6.41993848275582,5.51362488861825,22.2710445557003,2.36749789249078e-06,0.000437796454946584,"15904","Id4","inhibitor of DNA binding 4"
-6.7991788421651,4.16641118069504,22.2584179133022,2.38311731779431e-06,0.000437796454946584,"76686","Clip3","CAP-GLY domain containing linker protein 3"
-7.782270154133,7.64888386017853,22.2551584929597,2.38716605037889e-06,0.000437796454946584,"100689","Spon2","spondin 2, extracellular matrix protein"
-8.7690708821476,8.05403527967898,22.2411539849219,2.40464060594138e-06,0.000437796454946584,"14264","Fmod","fibromodulin"
-6.35127082369564,6.49233052304826,22.2227027083437,2.42785983009687e-06,0.000437796454946584,"58809","Rnase4","ribonuclease, RNase A family 4"
-6.87308732060757,6.68084594216184,22.183904304916,2.4774204227224e-06,0.000437796454946584,"228911","Tshz2","teashirt zinc finger family member 2"
-8.50433991701599,5.96747299626667,22.1835061972291,2.4779341861639e-06,0.000437796454946584,"208936","Adamts18","ADAM metallopeptidase with thrombospondin type 1 motif 18"
6.05582816209904,5.36080797327532,22.1294629037114,2.54867929898721e-06,0.000437796454946584,"242505","Rasef","RAS and EF hand domain containing"
-9.26247089203757,0.795143104499574,22.1163226662197,2.56618453818477e-06,0.000437796454946584,"329093","Cpa6","carboxypeptidase A6"
-9.74652060899404,1.49009806914666,22.1083751445938,2.57683060291754e-06,0.000437796454946584,"78508","Frmpd1os","FERM and PDZ domain containing 1, opposite strand"
-7.35570805162183,4.53259181320664,22.1050213365654,2.58133646454444e-06,0.000437796454946584,"66042","Sostdc1","sclerostin domain containing 1"
-6.48821355979876,7.29992563979788,22.0691256565515,2.63006041410937e-06,0.000437796454946584,"14118","Fbn1","fibrillin 1"
-7.74549292731948,4.24909241402932,22.0617962980806,2.64012198569544e-06,0.000437796454946584,"216049","Zfp365","zinc finger protein 365"
-7.77735663395947,4.8302779638726,22.0324237343364,2.68083293751901e-06,0.000437796454946584,"22409","Wnt10a","wingless-type MMTV integration site family, member 10A"
-8.31386785300035,3.54698360343484,22.0164180623996,2.70328161536439e-06,0.000437796454946584,"171171","Ntng2","netrin G2"
-6.12431988149797,4.66195953041244,22.0076666402101,2.71563553146314e-06,0.000437796454946584,"268860","Abat","4-aminobutyrate aminotransferase"
-6.43658591422358,4.32813247161652,21.9771795269993,2.75911662392948e-06,0.000437796454946584,"12326","Camk4","calcium/calmodulin-dependent protein kinase IV"
-6.18326399087127,4.59536521269586,21.9677681518795,2.7726798200084e-06,0.000437796454946584,"330812","Rnf150","ring finger protein 150"
-7.1030049567695,3.48090234671982,21.96231439638,2.78057008802357e-06,0.000437796454946584,"18669","Abcb1b","ATP-binding cassette, sub-family B member 1B"
-6.95327099549796,3.96984243574834,21.9522784290633,2.79514862816522e-06,0.000437796454946584,"20541","Slc8a1","solute carrier family 8 (sodium/calcium exchanger), member 1"
-6.51559431375512,9.93395431883851,21.9248432624183,2.83539431834438e-06,0.000437796454946584,"12827","Col4a2","collagen, type IV, alpha 2"
-6.39732353951211,4.40552997198375,21.8878570383542,2.89057262232002e-06,0.000437796454946584,"207777","Tspoap1","TSPO associated protein 1"
-8.88607731823223,3.73502561721435,21.8689817992509,2.91914575854794e-06,0.000437796454946584,"26950","Vsnl1","visinin-like 1"
-6.05779627737895,8.17436570062579,21.8551098118442,2.94032553535323e-06,0.000437796454946584,"13717","Eln","elastin"
-6.14663180087914,4.54515171674414,21.8320654232473,2.9758511111171e-06,0.000437796454946584,"233651","Dchs1","dachsous cadherin related 1"
-6.43396384402612,7.45346319591852,21.8159922043918,3.00088446856538e-06,0.000437796454946584,"12111","Bgn","biglycan"
-7.03442485571133,4.10276825895781,21.8028182553382,3.0215598163695e-06,0.000437796454946584,"66873","Tril","TLR4 interactor with leucine-rich repeats"
-6.26464125143282,4.43417861164607,21.7971582325461,3.03048655821191e-06,0.000437796454946584,"241556","Tspan18","tetraspanin 18"
-8.50301778276038,5.04428186448485,21.7650799924286,3.08158123975144e-06,0.000437796454946584,"65256","Asb2","ankyrin repeat and SOCS box-containing 2"
-6.73926021133621,8.48345679902407,21.7543056598382,3.09893595046683e-06,0.000437796454946584,"63913","Niban1","niban apoptosis regulator 1"
-8.20645207170484,4.25757538063822,21.7512936480621,3.10380505130265e-06,0.000437796454946584,"56191","Tro","trophinin"
-7.05402178033441,3.19338986445761,21.7343464977138,3.13134460195934e-06,0.000437796454946584,"76220","6530402F18Rik","RIKEN cDNA 6530402F18 gene"
-6.83859603494113,4.98298900124322,21.731385604943,3.13618122662526e-06,0.000437796454946584,"15117","Has2","hyaluronan synthase 2"
-7.95619547423681,3.94035519203467,21.6934344731716,3.19884232519388e-06,0.000437796454946584,"329366","Ccdc187","coiled-coil domain containing 187"
-6.46362302366102,6.49481151722695,21.6924941189627,3.20041078988808e-06,0.000437796454946584,"18830","Pltp","phospholipid transfer protein"
-5.8252644759937,6.78088853502048,21.6823965147488,3.21730180709111e-06,0.000437796454946584,"11568","Aebp1","AE binding protein 1"
-8.59123396836848,4.47529591511446,21.6569023072534,3.26034696328029e-06,0.000437796454946584,"77481","C030048H21Rik","RIKEN cDNA C030048H21 gene"
-7.66284206629102,4.61245145222468,21.6562679513443,3.26142536447384e-06,0.000437796454946584,"15552","Htr1d","5-hydroxytryptamine (serotonin) receptor 1D"
-6.02016903567546,7.15724232827608,21.6407250108954,3.28796037708857e-06,0.000437796454946584,"108927","Lhfpl6","LHFPL tetraspan subfamily member 6"
-7.23584486417533,4.05346709294323,21.627759501251,3.31026082744996e-06,0.000437796454946584,"106565","Dlk2","delta like non-canonical Notch ligand 2"
-6.21628496368935,9.86135260527165,21.627541760023,3.31063663145014e-06,0.000437796454946584,"20692","Sparc","secreted acidic cysteine rich glycoprotein"
-7.54228227168249,4.47856597233654,21.6019631177063,3.35508254309887e-06,0.000437796454946584,"100042150","Nrg2","neuregulin 2"
-5.93660942985385,5.1705574051812,21.5911011942697,3.37413706286639e-06,0.000437796454946584,"628900","Serpina3i","serine (or cysteine) peptidase inhibitor, clade A, member 3I"
-5.85103026985767,7.1071726624721,21.5777680916238,3.39767516284655e-06,0.000437796454946584,"546546","Serpina3h","serine (or cysteine) peptidase inhibitor, clade A, member 3H"
-5.25609981755343,5.71892826775149,21.5766351092999,3.39968289535915e-06,0.000437796454946584,"12831","Col5a1","collagen, type V, alpha 1"
-6.36820967390733,6.35199161571511,21.5691349739134,3.41300377387989e-06,0.000437796454946584,"12816","Col12a1","collagen, type XII, alpha 1"
-7.60843753346924,7.52856487331151,21.5685441990546,3.41405526273923e-06,0.000437796454946584,"14313","Fst","follistatin"
-6.51535947122173,5.62550732834413,21.5490316301131,3.44896792166674e-06,0.000437796454946584,"114679","Selenom","selenoprotein M"
-6.91262454629374,3.97988243530445,21.5350173968786,3.47426357717205e-06,0.000437796454946584,"380785","Begain","brain-enriched guanylate kinase-associated"
-6.19639038541796,5.70073558734502,21.4892358488319,3.55820384458804e-06,0.000437796454946584,"20528","Slc2a4","solute carrier family 2 (facilitated glucose transporter), member 4"
-6.00213812762712,5.2664810210427,21.4667681418163,3.60013970087393e-06,0.000437796454946584,"666048","Trabd2b","TraB domain containing 2B"
-9.07192329037584,5.34858202945215,21.4570933598086,3.61835005020963e-06,0.000437796454946584,"252837","Ackr4","atypical chemokine receptor 4"
-5.72566134989229,6.11847005508112,21.45624816856,3.61994529390103e-06,0.000437796454946584,"214968","Sema6d","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
-7.15233613634036,4.96552938848215,21.4552713661742,3.62178982421602e-06,0.000437796454946584,"629378","Dact3","dishevelled-binding antagonist of beta-catenin 3"
-6.40629353182507,5.45092035606249,21.4433361018537,3.64440391286085e-06,0.000437796454946584,"193385","Ripor2","RHO family interacting cell polarization regulator 2"
-6.8783033093646,7.81808568216872,21.4264140966503,3.67670958998812e-06,0.000437796454946584,"14451","Gas1","growth arrest specific 1"
-7.71587750183463,4.48146007527157,21.4159556066886,3.6968193395013e-06,0.000437796454946584,"233271","Luzp2","leucine zipper protein 2"
-7.37945946923075,3.05556574268089,21.388661780472,3.74982174742349e-06,0.000437796454946584,"594844","Tceal3","transcription elongation factor A (SII)-like 3"
-8.40625099273315,3.00564296083991,21.3545465018315,3.81714441971476e-06,0.000437796454946584,"100042464",NA,NA
-5.59971447726218,5.22101705794633,21.3432671670403,3.83966865986849e-06,0.000437796454946584,"12162","Bmp7","bone morphogenetic protein 7"
-6.64467818004262,5.32356454466961,21.34154564686,3.84311815740617e-06,0.000437796454946584,"230098","Arhgef39","Rho guanine nucleotide exchange factor 39"
-7.30002791680077,4.05092286719286,21.3368134162007,3.85261640014203e-06,0.000437796454946584,"105653","Phyhip","phytanoyl-CoA hydroxylase interacting protein"
-9.54313903829726,3.93653711464934,21.3120238179478,3.90275882658879e-06,0.000437796454946584,"56747","Sez6l","seizure related 6 homolog like"
-6.38337580357988,3.61019072655403,21.3107983647118,3.90525449334359e-06,0.000437796454946584,"11302","Aatk","apoptosis-associated tyrosine kinase"
-6.71068320507806,5.08870360667576,21.3017802041374,3.92366953018096e-06,0.000437796454946584,"268935","Scube3","signal peptide, CUB domain, EGF-like 3"
-6.8368631493357,5.71579374687257,21.301281512533,3.92469039458804e-06,0.000437796454946584,"23888","Gpc6","glypican 6"
-5.91039839686387,5.07676869905724,21.2929652781573,3.94175377494032e-06,0.000437796454946584,"22411","Wnt11","wingless-type MMTV integration site family, member 11"
-10.0382916841054,3.74824600907238,21.2641946882051,4.00136206981687e-06,0.000437796454946584,"72902","Spock3","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3"
-7.93887040886281,5.23051499778976,21.2458366146131,4.03986910935509e-06,0.000437796454946584,"100861621",NA,NA
5.51236787690492,4.34613609679911,21.2337197573366,4.06548836865792e-06,0.000437796454946584,"72097","Cracdl","capping protein inhibiting regulator of actin like"
-6.29594605154888,8.78951932507475,21.2223776995464,4.08961714579723e-06,0.000437796454946584,"20716","Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N"
-5.9639154461774,4.66349093572488,21.2196259167276,4.09549284188239e-06,0.000437796454946584,"100604","Lrrc8c","leucine rich repeat containing 8 family, member C"
5.69276468898943,5.47562911474934,21.2175924299422,4.09984025133475e-06,0.000437796454946584,"105853","Mal2","mal, T cell differentiation protein 2"
-8.01899679734181,4.20256443257415,21.1623329465737,4.21976948725678e-06,0.000438350771909716,"214112","Nipal4","NIPA-like domain containing 4"
-8.04635580215416,3.33898800034916,21.131431587429,4.28836284963221e-06,0.000438350771909716,"223838","Adamts20","ADAM metallopeptidase with thrombospondin type 1 motif 20"
-6.96066720413818,2.31750860808676,21.1262130074562,4.30005675117768e-06,0.000438350771909716,"13507","Dsc3","desmocollin 3"
-8.07733749616373,2.35357496225216,21.1010602430726,4.35686998103706e-06,0.000438350771909716,"66773","Gm17019","predicted gene 17019"
-7.20133290068078,4.32900595810699,21.0918198740321,4.37793013137432e-06,0.000438350771909716,"231532","Arhgap24","Rho GTPase activating protein 24"
-5.32795628211951,5.78248254478815,21.0880192780631,4.38662186747113e-06,0.000438350771909716,"23959","Nt5e","5' nucleotidase, ecto"
-6.23063602750334,5.76570593851197,21.082440522806,4.39941152342553e-06,0.000438350771909716,"20356","Sema5a","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
-5.65589136913583,5.36809246695276,21.0807821777123,4.40322059689066e-06,0.000438350771909716,"319909","Ism1","isthmin 1, angiogenesis inhibitor"
5.33217489424286,5.61743065576387,21.0318762726212,4.51705359140179e-06,0.000438350771909716,"27375","Tjp3","tight junction protein 3"
-6.92839453656639,3.57904739586977,21.0049232799686,4.58104671886709e-06,0.000438350771909716,"100503819","Gm12454","predicted gene 12454"
-5.6028868068618,6.01083404319304,20.9972711667301,4.59938000996357e-06,0.000438350771909716,"19414","Rasa3","RAS p21 protein activator 3"
-6.78347625864441,6.85585184311408,20.9916151548881,4.6129782576552e-06,0.000438350771909716,"11754","Aoc3","amine oxidase, copper containing 3"
-5.11295634494396,4.71024127646801,20.9896045992935,4.61782177236667e-06,0.000438350771909716,"16950","Loxl3","lysyl oxidase-like 3"
-6.68019126004953,3.37068327861168,20.9760020700455,4.65072519304999e-06,0.000438350771909716,"94284","Ugt1a6a","UDP glucuronosyltransferase 1 family, polypeptide A6A"
-8.73661042052123,0.328183189336307,20.9713053874526,4.66214064999028e-06,0.000438350771909716,"84111","Gpr87","G protein-coupled receptor 87"
-6.60867535059083,5.22180722691897,20.968733693743,4.66840315430134e-06,0.000438350771909716,"226778","Mark1","MAP/microtubule affinity regulating kinase 1"
-8.37289350465652,6.67228056642678,20.9581295364796,4.69431535281995e-06,0.000438350771909716,"78896","Ecrg4","ECRG4 augurin precursor"
5.56213811801163,6.31216924200128,20.9508547974758,4.71217525256873e-06,0.000438350771909716,"70737","Cgn","cingulin"
-6.50111506770908,5.15358515949965,20.9505368562604,4.71295736983898e-06,0.000438350771909716,"17260","Mef2c","myocyte enhancer factor 2C"
-7.29543931061757,3.20090064539743,20.9470334691492,4.72158413417163e-06,0.000438350771909716,"23965","Tenm3","teneurin transmembrane protein 3"
-8.62934730178134,2.9656049457672,20.9461197886573,4.72383659150149e-06,0.000438350771909716,"66793","Clxn","calaxin"
-5.97646877472247,6.4218867597531,20.9458103476486,4.7245996875827e-06,0.000438350771909716,"13003","Vcan","versican"
-9.45317471161893,1.36646184604525,20.9383740017816,4.74297532248553e-06,0.000438350771909716,"100040792","Gm11627","predicted gene 11627"
-8.76747186209228,0.41262795087798,20.9063473064732,4.82293832208813e-06,0.000439946342643632,"109052","Krt75","keratin 75"
-8.523138821062,2.81997535648319,20.9018065103331,4.83438459379241e-06,0.000439946342643632,"381714","Gm9758","predicted gene 9758"
-6.07653712301559,2.91387299836934,20.8980982566809,4.84375244368463e-06,0.000439946342643632,"93761","Smarca1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
-7.77637790730706,2.50660063781539,20.8762565861284,4.89930006567797e-06,0.000441053514867567,"68553","Col6a4","collagen, type VI, alpha 4"
5.58021922225826,4.63726231796441,20.8643353906293,4.92988722103971e-06,0.000441053514867567,"545551","BC021767","cingulin pseudogene"
-5.16143982322939,6.11757448046496,20.8365222525473,5.00199686150172e-06,0.000441053514867567,"13803","Enc1","ectodermal-neural cortex 1"
-6.54681117811325,5.64511173248287,20.8315298710883,5.01505195760011e-06,0.000441053514867567,"70717","Medag","mesenteric estrogen dependent adipogenesis"
-5.06768615126646,4.7850606346711,20.8302341723556,5.01844580038961e-06,0.000441053514867567,"12289","Cacna1d","calcium channel, voltage-dependent, L type, alpha 1D subunit"
-5.14689716894456,4.1318720575537,20.8205966446299,5.04376196060897e-06,0.000441053514867567,"26432","Plod2","procollagen lysine, 2-oxoglutarate 5-dioxygenase 2"
-7.97557993788452,2.56049174250337,20.8073277143586,5.07882705522912e-06,0.000441053514867567,"16764","Aff3","AF4/FMR2 family, member 3"
5.32855369384299,4.67253645417702,20.8071855826966,5.0792039803782e-06,0.000441053514867567,"224116","Muc20","mucin 20"
-7.21835707778673,3.8900119917749,20.7789337193389,5.15468650410672e-06,0.000445162106616955,"244867","Arhgap20","Rho GTPase activating protein 20"
-10.1869639355365,2.40924428106768,20.7429643938044,5.25241976946718e-06,0.000451137184981844,"270150","Ccdc153","coiled-coil domain containing 153"
-5.56792228585948,3.72861150211962,20.7232312368985,5.30682510505342e-06,0.000453346291677104,"71721","Fam13c","family with sequence similarity 13, member C"
-4.92054965294732,4.76872603600843,20.6850137274433,5.4138064989324e-06,0.000459922876700815,"19038","Ppic","peptidylprolyl isomerase C"
-6.93810006634786,3.70890564237093,20.6750635222997,5.44201328417189e-06,0.000459922876700815,"320587","Tmem88b","transmembrane protein 88B"
7.79461065753383,5.45627702074126,20.6586624688506,5.48882920760025e-06,0.000461412004238906,"21990","Tph1","tryptophan hydroxylase 1"
-8.26907680545667,2.71583812923931,20.6102630681359,5.62935256168547e-06,0.000465895048453067,"360220","Speer4d","spermatogenesis associated glutamate (E)-rich protein 4D"
-8.51683260276191,0.0768753218141264,20.604928227622,5.64506108818146e-06,0.000465895048453067,"238205","Lrfn5","leucine rich repeat and fibronectin type III domain containing 5"
-5.20834285830626,4.79670711229174,20.5830536318198,5.70993258574853e-06,0.000465895048453067,"68519","Eml1","echinoderm microtubule associated protein like 1"
-4.96575694159904,4.48459525869697,20.5532679902091,5.79946996048421e-06,0.000465895048453067,"100129","Gpr153","G protein-coupled receptor 153"
-6.3587992191327,4.91807038806328,20.546842158564,5.81897044307394e-06,0.000465895048453067,"63873","Trpv4","transient receptor potential cation channel, subfamily V, member 4"
-8.52521593139913,2.88545851718551,20.5383589120753,5.84481539761739e-06,0.000465895048453067,"624245","Speer4e","spermatogenesis associated glutamate (E)-rich protein 4e"
-7.46942531847426,3.18649652987996,20.5321941691388,5.86366908521263e-06,0.000465895048453067,"100861702","Gm21149","predicted gene, 21149"
-5.82607477975233,10.4133547820529,20.5310112849771,5.86729368431805e-06,0.000465895048453067,"12826","Col4a1","collagen, type IV, alpha 1"
